"script_name","run_time","red","green","blue","x_coordinate","y_coordinate","finished"
"xwd-convert.sh",241.0,45,42,46,1534,890,1515976673.282198
"xwd-convert.sh",250.0,34,31,34,125,581,1515976673.63607
"xwd-convert.sh",244.0,40,85,119,201,420,1515976673.98365
"xwd-convert.sh",236.0,40,85,119,1,522,1515976674.340706
"xwd-convert.sh",247.0,45,42,46,1177,666,1515976674.694558
"xwd-convert.sh",242.0,20,21,22,2355,744,1515976675.02866
"xwd-convert.sh",230.0,45,42,46,383,536,1515976675.37991
"xwd-convert.sh",240.0,45,42,46,530,1320,1515976675.729629
"xwd-convert.sh",238.0,20,21,22,2874,1091,1515976676.044418
"xwd-convert.sh",211.0,247,247,245,1037,1393,1515976676.364824
"xwd-convert.sh",217.0,217,217,216,66,643,1515976676.722588
"xwd-convert.sh",247.0,20,21,22,2395,714,1515976677.077651
"xwd-convert.sh",245.0,45,42,46,1415,1108,1515976677.428166
"xwd-convert.sh",241.0,45,42,46,1550,1074,1515976677.782968
"xwd-convert.sh",245.0,45,42,46,795,1044,1515976678.137348
"xwd-convert.sh",246.0,20,21,22,2755,433,1515976678.490212
"xwd-convert.sh",242.0,20,21,22,2347,835,1515976678.812813
"xwd-convert.sh",217.0,102,103,101,2437,946,1515976679.165706
"xwd-convert.sh",242.0,34,31,34,248,665,1515976679.513622
"xwd-convert.sh",242.0,45,42,46,1640,1204,1515976679.857326
"xwd-convert.sh",234.0,45,42,46,1331,1381,1515976680.212326
"xwd-convert.sh",244.0,20,21,22,2956,958,1515976680.567199
"xwd-convert.sh",244.0,45,42,46,1456,1362,1515976680.917855
"xwd-convert.sh",241.0,45,42,46,1882,607,1515976681.270411
"xwd-convert.sh",242.0,20,21,22,2398,1006,1515976681.58815
"xwd-convert.sh",214.0,45,42,46,780,1130,1515976681.946983
"xwd-convert.sh",249.0,45,42,46,936,1179,1515976682.26603
"xwd-convert.sh",212.0,47,52,63,1598,440,1515976682.61666
"xwd-convert.sh",241.0,45,42,46,1665,661,1515976682.97106
"xwd-convert.sh",244.0,20,21,22,2318,638,1515976683.305568
"xwd-convert.sh",225.0,82,83,81,2024,686,1515976683.657364
"xwd-convert.sh",240.0,74,74,73,2319,1004,1515976684.008163
"xwd-convert.sh",240.0,45,42,46,655,1144,1515976684.327391
"xwd-convert.sh",210.0,20,21,22,2781,1245,1515976684.644898
